ID SOCIO;DNI;APELLIDO;NOMBRE;ULTIMO PAGO;FECHA INGRESO
1;118528638;FEVERYEAR;Danell;22/6/2022;22/6/2022
2;44927827;KUBERA;Daniella;22/6/2022;22/6/2022
3;485166377;STRAHAN;Lotti;22/6/2022;22/6/2022
4;134381817;GLAZIER;Herve;22/6/2022;22/6/2022
5;335739513;LOCOCK;Vinni;22/6/2022;22/6/2022
6;85823517;DUMBLETON;Cordy;22/6/2022;22/6/2022
7;554554569;DRAGGE;Gwenneth;22/6/2022;22/6/2022
8;460216275;LOVEWELL;Ame;22/6/2022;22/6/2022
9;170165842;PIKEN;Benjie;22/6/2022;22/6/2022
10;476072600;MERTEL;Carine;22/6/2022;22/6/2022
11;244212078;NEALY;Wolfgang;22/6/2022;22/6/2022
12;26668133;BABE;Kelvin;22/6/2022;22/6/2022
13;551152634;PRESSLEE;Hana;22/6/2022;22/6/2022
14;241702944;GRISENTHWAITE;Clarisse;22/6/2022;22/6/2022
15;465080662;TRAZZI;Gard;22/6/2022;22/6/2022
16;289925572;FORESIGHT;Alla;22/6/2022;22/6/2022
17;528512672;CAZE;Ethyl;22/6/2022;22/6/2022
18;209603532;MANIFIELD;Kirstyn;22/6/2022;22/6/2022
19;75620445;HUGUET;Levey;22/6/2022;22/6/2022
20;520981544;CAYTON;Silvia;22/6/2022;22/6/2022
21;290075824;POLK;Ryan;22/6/2022;22/6/2022
22;329049343;JINDA;Vannie;22/6/2022;22/6/2022
23;512883558;ALYUKIN;Egor;22/6/2022;22/6/2022
24;446886231;DESSEINE;Theo;22/6/2022;22/6/2022
25;393989050;BAWCOCK;Devland;22/6/2022;22/6/2022
26;332728879;GROUCUTT;Letitia;22/6/2022;22/6/2022
27;14912491;MILAN;Riobard;22/6/2022;22/6/2022
28;174344998;ARLOTT;Eliza;22/6/2022;22/6/2022
29;17097852;PARAMORE;Inesita;22/6/2022;22/6/2022
30;260917195;MORENA;Jamison;22/6/2022;22/6/2022
31;124169682;BEDDOW;Camille;22/6/2022;22/6/2022
32;259639050;SCHOTT;Salome;22/6/2022;22/6/2022
33;168258516;FARMAR;Marcello;22/6/2022;22/6/2022
34;430687982;SOLLEY;Corena;22/6/2022;22/6/2022
35;533486414;AITCHESON;Innis;22/6/2022;22/6/2022
36;128302879;HAUXBY;Jeane;22/6/2022;22/6/2022
37;30805673;SPILSTED;Eberto;22/6/2022;22/6/2022
38;65952764;SPURNIER;Robinett;22/6/2022;22/6/2022
39;211863763;CHATWOOD;Jeremy;22/6/2022;22/6/2022
